city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
sh,福特 福克斯 2012款 三厢 1.6L 自动尊贵型,福特,福克斯,自动尊贵型,2014,5.3,1.6L,6.08,6.18,到店服务,严选车
sh,菲亚特 菲翔 2012款 1.4T 手动悦享版,菲亚特,菲翔,手动悦享版,2013,2.7,1.4T,4.30,11.80,到店服务,非严选
sh,起亚K3 2013款 1.6L 自动GLS,起亚K3,,自动GLS,2013,11.2,1.6L,5.00,13.50,到店服务,非严选
sh,日产 轩逸 2012款 1.6XL 手动豪华版,日产,轩逸,,2014,3.4,,5.50,13.60,到店服务,非严选
sh,斯柯达 晶锐 2017款 1.4L 自动车享版,斯柯达,晶锐,自动车享版,2017,0.8,1.4L,5.86,9.20,到店服务,严选车
sh,斯柯达 昕锐 2015款 1.6L 手动乐选型,斯柯达,昕锐,手动乐选型,2016,4.7,1.6L,4.50,9.20,到店服务,非严选
sh,菲亚特 菲翔 2012款 1.4T 自动劲享版,菲亚特,菲翔,自动劲享版,2012,6.6,1.4T,4.28,15.10,到店服务,严选车
sh,福特 翼搏 2013款 1.5L 手动风尚型,福特,翼搏,手动风尚型,2014,2.7,1.5L,4.50,11.20,到店服务,非严选
sh,别克 英朗 2013款 GT 1.6L 手动进取版,别克,英朗,手动进取版,2014,5.3,1.6L,5.38,14.90,到店服务,非严选
sh,福特 福克斯 2013款 两厢经典 1.8L 手动时尚型,福特,福克斯,手动时尚型,2014,3.9,1.8L,4.60,12.20,到店服务,非严选
sh,大众 捷达 2015款 质惠版 1.4L 手动时尚型,大众,捷达,手动时尚型,2016,3.2,1.4L,5.00,8.70,到店服务,非严选
sh,长城M4 2015款 1.5L AMT舒适型,长城M4,,AMT舒适型,2016,3.1,1.5L,4.23,7.60,到店服务,非严选
sh,大众POLO 2012款 1.6L Cross POLO AT,大众POLO,,Cross POLO AT,2013,4.3,1.6L,6.00,13.70,到店服务,非严选
sh,哈弗H6 2017款 红标 运动版 1.5T 手动两驱精英型,哈弗H6,,手动两驱精英型,2017,3.7,1.5T,6.50,11.70,到店服务,严选车
sh,东南DX7 2015款 1.5T 自动豪华型,东南DX7,,自动豪华型,2016,3.0,1.5T,6.90,14.10,到店服务,严选车
sh,现代 朗动 2013款 1.6L 自动尊贵型,现代,朗动,自动尊贵型,2014,5.6,1.6L,5.99,14.60,到店服务,严选车
sh,别克 威朗 2016款 两厢 15S 自动领先型,别克,威朗,,2016,3.1,,8.50,16.90,到店服务,非严选
sh,雪佛兰 创酷 2014款 1.4T 自动两驱豪华型,雪佛兰,创酷,自动两驱豪华型,2015,4.0,1.4T,7.00,14.50,到店服务,非严选
sh,长安商用 欧尚 2016款 1.5L 手动豪华型7座,长安商用,欧尚,手动豪华型7座,2017,2.5,1.5L,3.78,7.00,到店服务,非严选
sh,福特 福克斯 2013款 两厢经典 1.8L 手动基本型,福特,福克斯,手动基本型,2014,5.4,1.8L,3.83,3.94,到店服务,严选车
sh,荣威550 2012款 550 1.8L 自动超值版,荣威550,,自动超值版,2012,9.3,1.8L,3.22,3.37,到店服务,严选车
sh,奥迪A4L 2011款 2.0 TFSI 舒适型,奥迪A4L,,,2011,8.3,,10.70,35.80,到店服务,严选车
sh,雪佛兰 科帕奇 2013款 2.4L 两驱城市版 7座,雪佛兰,科帕奇,两驱城市版 7座,2014,5.1,2.4L,8.25,8.51,到店服务,严选车
sh,别克 凯越 2011款 1.6LE-MT,别克,凯越,E-MT,2012,6.4,1.6L,2.63,11.70,到店服务,严选车
sh,本田 飞度 2014款 1.5L LX CVT舒适型,本田,飞度,LX CVT舒适型,2015,3.1,1.5L,6.38,8.90,到店服务,非严选
sh,雪铁龙C5 2011款 东方之旅 2.3L 自动尊驭型,雪铁龙C5,,自动尊驭型,2012,7.7,2.3L,5.79,6,到店服务,严选车
sh,别克 君威 2009款 2.4L 精英版,别克,君威,精英版,2010,11.4,2.4L,5.00,24.50,到店服务,非严选
sh,斯柯达 昊锐 2012款 1.8TSI 自动优雅版,斯柯达,昊锐,SI 自动优雅版,2013,3.7,1.8T,7.54,22.60,到店服务,严选车
sh,雪佛兰 科鲁兹 2013款 1.6L SE MT,雪佛兰,科鲁兹,SE MT,2013,3.4,1.6L,4.50,13.00,到店服务,非严选
sh,福特 福克斯 2015款 两厢 EcoBoost 180 自动精英型,福特,福克斯,,2016,3.5,,7.98,16.30,到店服务,严选车
sh,福特 嘉年华 2011款 三厢 1.5L 自动时尚型,福特,嘉年华,自动时尚型,2011,7.1,1.5L,3.05,3.15,到店服务,严选车
sh,雪佛兰 爱唯欧 2011款 两厢 1.4L MT SE,雪佛兰,爱唯欧,MT SE,2012,5.2,1.4L,2.80,9.50,到店服务,非严选
sh,斯柯达 昊锐 2012款 1.4TSI DSG优雅版,斯柯达,昊锐,SI DSG优雅版,2012,9.1,1.4T,5.74,21.70,到店服务,严选车
sh,大众 高尔夫 2015款 1.6L 自动舒适型,大众,高尔夫,自动舒适型,2014,4.8,1.6L,8.38,15.70,到店服务,严选车
sh,别克 君威 2014款 1.6T 时尚技术型,别克,君威,时尚技术型,2014,8.2,1.6T,8.23,21.70,到店服务,严选车
sh,大众 帕萨特 2011款 1.8TSI DSG尊荣版,大众,帕萨特,SI DSG尊荣版,2012,10.6,1.8T,9.31,9.65,到店服务,严选车
sh,奥迪Q5 2012款 2.0TFSI 舒适型,奥迪Q5,,FSI 舒适型,2012,11.3,2.0T,18.00,52.30,到店服务,非严选
sh,别克 君威 2012款 2.4L SIDI精英版,别克,君威,SIDI精英版,2011,11.2,2.4L,6.34,6.55,到店服务,严选车
